
---------- Begin Simulation Statistics ----------
simSeconds                                   0.018236                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdStrideSegmentedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdStrideSegmentedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdConfig            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total       33537575                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.839085                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                              895753                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.026709                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                 86169216                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                33562092                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses        33533416                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                      3803                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                     2403                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses             1787                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                    34430667                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                         1916                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numRecvResp                        2063919                       # Number of received responses (Count)
system.cpu.numRecvRespBytes                  12342577                       # Number of received response bytes (Byte)
system.cpu.recvRespAvgBW                         0.68                       # Average bandwidth of received responses ((Byte/Cycle))
system.cpu.recvRespAvgSize                       5.98                       # Average packet size per received response ((Byte/Count))
system.cpu.recvRespAvgRate                       0.11                       # Average rate of received responses per cycle ((Count/Cycle))
system.cpu.recvRespAvgRetryRate                  0.00                       # Average retry rate per received response ((Count/Count))
system.cpu.numSendRetryResp                         0                       # Number of retry responses sent (Count)
system.cpu.numSquashedInsts                      1399                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
